('EU TE CONHECER [PONTO]', '1S_CONHECER_2S [PONTO]')
('EU LHE DAR BONECA [PONTO]', '1S_DAR_2S BONECA [PONTO]')
('EU TE DAR CADERNO [PONTO]', '1S_DAR_2S CADERNO [PONTO]')
('EU LHE DAR CADERNO [PONTO]', '1S_DAR_2S CADERNO [PONTO]')
('EU LHE DAR CANETA [PONTO]', '1S_DAR_2S CANETA [PONTO]')
('EU LHE DAR LIVRO [PONTO]', '1S_DAR_2S LIVRO [PONTO]')
('EU TE MOSTRAR CIDADE [PONTO]', '1S_MOSTRAR_2S CIDADE [PONTO]')
('EU LHE PEDIR QUE RECONSIDERAR [PONTO]', '1S_PEDIR_2S RECONSIDERAR [PONTO]')
('EU PEDIR ELES PARA CONSERTAR MEU CARRO [PONTO]', '1S_PEDIR_3S CONSERTAR MEU CARRO [PONTO]')
('ELA LHE PERGUNTAR ONDE ELE MORAR [PONTO]', '1S_PERGUNTAR_2S MORAR  [PONTO]')
('EU ME PERGUNTAR PORQUÊ ÔNIBUS ESTAR ATRASADO [PONTO]', '1S_PERGUNTAR_2S PORQUE ÔNIBUS ATRASAR [PONTO]')
('EU TE SEGUIR [PONTO]', '1S_SEGUIR_2S [PONTO]')
('EU TE VER MEUS SONHO [PONTO]', '1S_VER_2S MEU SONHO [PONTO]')
('EU VER ELA OUTRO DIA [PONTO]', '1S_VER_3S DIA ANTES_PASSADO [PONTO]')
('EU VER ELA VARRER QUARTO [PONTO]', '1S_VER_3S VARRER QUARTO [PONTO]')
('25 AGOSTO SAIR COM REVISTA BLITZ COLETÂNEA ALMADA 79 QUE REVELAR PRIMEIRAS MAQUETA ROCK PORTUGUÊS REGISTAR 1979 AINDA TEMA CAÇADA GRAVAR CONVENTO CAPUCHOS 1995 JORGE MORRER CAPTAR VIVO CENTRO CULTURAL BELÉM 2013 [PONTO] ANO QUE PASSAR 30 ANO SOBRE MORTE JOSÉ AFONSO OS UHF LANÇAR 27 OUTUBRO HERANÇA ANDARILHO ÁLBUM TRIBUTO MAIOR REFERÊNCIA MÚSICA NACIONAL [PONTO] ESTE DISCO SER DAR CONTINUIDADE FANTÁSTICO OBRA QUE ELE NOS DEIXAR REVELAR SEMENTE HERDAR REVELAR ANTÓNIO 1000º [PONTO] RIBEIRO PRODUTOR PROJETO ACRECENTOU ESTE SER AQUELES DISCO QUE SE FAZER VEZ VIDA [PONTO] SER 7 VERSÃO PUXAR PARA SOM ORA ELÉCTRICO ORA ACÚSTICO QUE SE JUNTAR 3 TEMA GRUPO FIO CONDUTOR LEGADO HERANÇA MAIS IMPORTANTE CANTAUTOR PORTUGUÊS [PONTO] PRIMEIRA AMOSTRA IR TEMA TRAZER OUTRO AMIGO TAMBÉM REVELAR 24 ABRIL 2017 ESTREIA ANTENA 1 COMEMORAR 43 ANO REVOLUÇÃO ABRIL SEGUIR SINGLE COMBOIO DESCENDENTE COM PARTICIPAÇÃO ARMANDO TEIXEIRA [PONTO]', '25 AGOSTO SAIR REVISTA BLITZ COLET NEA ALMADA 79 REVELAR PRIMEIRO_ORDINAL MAQUETA ROCK PORTUGAL_PAÍS REGISTRAR ANO_DATA 1979 AINDA_MOMENTO TEMA CAÇAR GRAVAR CONVENTO CAPUCHO ANO_DATA 1995 JORGE MORRER CAPTAR_CONSEGUIR AO_VIVO CENTRO_LOCAL CULTURAL BELÉM_CIDADE 2013 [PONTO] ANO_DATA PASSAR_TEMPO 30 ANO_DATA SOBRE_ASSUNTO MORTE JOSÉ AFONSO UHF LANÇAR_PUBLICAR 27 OUTUBRO HERANÇA ANDARILHO ÁLBUM_MÚSICA TRIBUTO MAIOR REFERÊNCIA MÚSICA DISCO 1S_DAR_2S CONTINUAR FANTÁSTICO OBRA_MÚSICA ELE DEIXAR REVELAR SEMENTE HERDAR REVELAR ANTÔNIO RIBEIRO PRODUTOR PROJETO ACRECENTAR DAQUELE DISCO FAZER 1 VEZ VIDA [PONTO] 7 VERSÃO PUXAR SOM ELÉTRICO ACÚSTICO JUNTAR_UNIR 3 TEMA GRUPO FIO CONDUTOR LEGADO HERANÇA MAIS_QUANTIDADE IMPORTANTE CANTAUTOR PORTUGAL_PAÍS [PONTO] PRIMEIRO_ORDINAL AMOSTRA TEMA TRAZER OUTRO AMIGO TAMBÉM REVELAR 24 ABRIL ANO_DATA 2017 ESTREIAR ANTENA_TV 1 COMEMORAÇÃO 43 ANO_DATA REVOLUÇÃO ABRIL SEGUIR SINGLE COMBOIO DESCENDENTE PARTICIPAR ARMANDO TEIXEIRA [PONTO]')
('ELA MOSTRAR ELE SEU ASSENTO [PONTO]', '2S_MOSTRAR_3S SEU ASSENTO [PONTO]')
('ELES ME CHAMAR [PONTO]', '3P_CHAMAR_1S [PONTO]')
('ELAS ME CHAMAR [PONTO]', '3P_CHAMAR_1S [PONTO]')
('ELES TE ENCONTRAR [PONTO]', '3P_ENCONTRAR_2S [PONTO]')
('ELES ME LIGAR [PONTO]', '3P_LIGAR_1S [PONTO]')
('ELAS ME LIGAR [PONTO]', '3P_LIGAR_1S [PONTO]')
('ELES LHE PERGUNTAR [PONTO]', '3P_PERGUNTAR_2S [PONTO]')
('ELE ME FALAR PARA FALAR SIM [PONTO]', '3S_AVISAR_1S DIZER SIM [PONTO]')
('ELE NOS CONHECER MUITO BEM [PONTO]', '3S_CONHECER_1P BEM_MUITO [PONTO]')
('ELA ME DAR ESTE 400º [PONTO]', '3S_DAR_1S CD [PONTO]')
('ELA ME DAR ESTE DISCO COMPACTO [PONTO]', '3S_DAR_1S DISCO COMPACTO [PONTO]')
('ELE ME DAR ISSO LIVRE ESPONTÂNEO VONTADE [PONTO]', '3S_DAR_1S VONTADE LIVRE [PONTO]')
('ELE ME DAR ISSO ESPONTANEAMENTE [PONTO]', '3S_DAR_1S VONTADE LIVRE [PONTO]')
('ELA ME DAR MUITO COMIDA [PONTO]', '3S_DAR_2S (+)COMIDA [PONTO]')
('ELA LHE DAR PEDAÇO PAPEL [PONTO]', '3S_DAR_2S PEDAÇO PAPEL [PONTO]')
('ELA ME DAR VÁRIOS LIVRO [PONTO]', '3S_DAR_2S VÁRIOS LIVRO [PONTO]')
('ELES NOS ENGANAR [PONTO]', '3S_ENGANAR_1P [PONTO]')
('ELE ME EVITAR [PONTO]', '3S_EVITAR_1S [PONTO]')
('ELE PEDIR ELA SE ELA CONHECER [PONTO]', '3S_PERGUNTAR_3S  CONHECER [PONTO]')
('ELE PERGUNTAR ELA ONDE MORAR [PONTO]', '3S_PERGUNTAR_3S ONDE MORAR [PONTO]')
('ELE PERGUNTAR ELA ONDE VIVER [PONTO]', '3S_PERGUNTAR_3S ONDE VIVER [PONTO]')
('1991 DALE BROWN CONVOCAR 2 CONSAGRAR EX_JOGADOR NBA PARA AUXILIAR CRESCIMENTO SHAQUILLE KAREEM ABDUL-JABBAR BILL WALTON [PONTO] KAREEM ENSINAR SHAQ SEU FAMOSO SKY HOOK ENQUANTO WALTON ENSINAR MOVIMENTO OFENSIVO TÉCNICA BLOQUEIO [PONTO] WALTON FICAR IMPRESSIONAR COM CAPACIDADE SHAQ ELE ME LEMBRAR CHARLES BARKLEY [PONTO] SHAQUILLE TER AQUELE RÁPIDA INCONTROLÁVEL EXPLOSÃO COMO BARKLEY [PONTO] SER FORÇA BRUTO QUE VOCÊ NÃO_CONSEGUIR SALA MUSCULAR [PONTO] VIR ALGUM OUTRO LUGAR FUNDO ALMA [PONTO] GAROTO DEVER TER TALENTO FÍSICO DISCIPLINA PESSOAL PARA SER MELHOR TODO [PONTO]', 'ANO_DATA 1991 DALE BROWN CONVOCAR 2 CONSAGRADO EX JOGADOR NBA AUXILIAR CRESCIMENTO SHAQUILLE KAREEM ABDUL JABBAR BILL WALTON [PONTO] KAREEM 1S_ENSINAR_2S SHAQ FAMOSO SKY HOOK ENQUANTO WALTON 1S_ENSINAR_2S MOVIMENTO OFENSIVO TÉCNICA BLOQUEIO [PONTO] WALTON IMPRESSIONADO CAPACIDADE SHAQ LEMBRAR CHARLES BARKLEY [PONTO] SHAQUILLE TER RÁPIDA INCONTROLÁVEL EXPLOSÃO BARKLEY FORÇA NÃO_CONSEGUIR SALA MUSCULAÇÃO [PONTO] VIR OUTRO LUGAR ALMA [PONTO] GAROTO DEVER_OBRIGAÇÃO TALENTO FÍSICO DISCIPLINA PESSOAL MELHOR')
('ENQUANTO DENTRO HOSPITAL SARAH QUE ANTES TER ATACAR DR [PONTO] SILBERMANN QUE NEGAR DIREITO VER SEU FILHO FINGIR ESTAR DESLIGAR REALIDADE NEM MESMO QUANDO POLICIAL MOSTRAR FOTO EXTERMINADOR SHOPPING FOTO DELEGACIA MASSACRE 1984 DEMONSTRAR CONSCIÊNCIA [PONTO] MAS SER SÓ FINGIMENTO ESCONDER CLIPE SEU BOCA QUE FORA USAR PARA ABRIR_PORTA ONDE ESTAR PRESA INIR DIREÇÃO SILBERMANN QUEBRAR SEU BRAÇO CHANTAGEAR GUARDA HOSPITAL ABRIR_PORTA CASO ELES NEGAR ELA INJETAR VENENO COM SERINGA SILBERMANN [PONTO]', 'DENTRO_AÇÃO HOSPITAL SARAH ANTES_ANTERIOR ATACAR_AGREDIR DOUTOR [PONTO] SILBERMANN NEGAR DIREITO_LEI VER FILHO FINGIR  NÃO_SABER REALIDADE  IGUAL POLICIAL HOMEM 1S_MOSTRAR_2S FOTO EXTERMINADOR SHOPPING FOTO DELEGACIA MASSACRE ANO_DATA 1984 DEMONSTRAR CONSCIÊNCIA [PONTO] FINGIMENTO ESCONDER CLIPE BOCA ABRIR_PORTA ONDE PRESA DIREÇÃO SILBERMANN QUEBRAR_DESTRUIR BRAÇO CHANTAGEAR GUARDAR_VIGIAR HOSPITAL ABRIR_PORTA SE ELES NEGAR ELA INJETAR VENENO SERINGA SILBERMANN [PONTO]')
('DESCULPA SE EU TE ASSUSTAR [PONTO]', 'DESCULPAR SE 1S_ASSUSTAR_2S [PONTO]')
